antibodytarget,cellline,tissue,cid,compound,concentration,concordancetable,datasetid,factor,level1,level2,libraryid,lincspertid,nCtrSamples,nTrtSamples,peaktype,platform,signatureid,lincsSigID,organism,clueIoCompound,integratedMoas,GeneTargets,time,treatment,perturbagenID,stitchID,pubChemID,is_exemplar,pert_type
,MCF7,breast,cID_3357,meclozine,8.6uM,concordanceLib2,,perturbagen,meclozine_0.0000086,control,LIB_2,LSM-1607,18.0,3.0,,,CMAP_3357,,,,Histamine H1 receptor antagonist,HRH1|NR1I3,,meclozine,,CID4034,4034,,
,MCF7,breast,cID_3365,progesterone,12.8uM,concordanceLib2,,perturbagen,progesterone_0.0000128,control,LIB_2,LSM-3452,12.0,2.0,,,CMAP_3365,,,,Progesterone receptor agonist,CYP17A1|NR3C2|PGR,,progesterone,,CID5994,5994,,
,MCF7,breast,cID_3369,butoconazole,8.4uM,concordanceLib2,,perturbagen,butoconazole_0.0000084,control,LIB_2,LSM-1344,11.0,2.0,,,CMAP_3369,,,,Cytochrome P450 51 inhibitor,,,butoconazole,,CID47472,47472,,
,MCF7,breast,cID_337,felodipine,10uM,concordanceLib2,,perturbagen,felodipine_0.00001,control,LIB_2,LSM-1447,13.0,3.0,,,CMAP_337,,,,Mineralocorticoid receptor antagonist|Voltage-gated L-type calcium channel blocker,CACNA1C|CACNA1D|CACNA1F|CACNA1S|NR3C2,,felodipine,,CID3333,3333,,
,MCF7,breast,cID_3375,cephaeline,6uM,concordanceLib2,,perturbagen,cephaeline_0.000006,control,LIB_2,LSM-3808,18.0,3.0,,,CMAP_3375,,,,Protein synthesis inhibitor,,,cephaeline,,CID442195,442195,,
,MCF7,breast,cID_3391,amiodarone,5.8uM,concordanceLib2,,perturbagen,amiodarone_0.0000058,control,LIB_2,LSM-2379,18.0,3.0,,,CMAP_3391,,,,HERG blocker,KCNH2,,amiodarone,,CID2157,2157,,
,MCF7,breast,cID_3395,bisacodyl,11uM,concordanceLib2,,perturbagen,bisacodyl_0.000011,control,LIB_2,LSM-2883,11.0,2.0,,,CMAP_3395,,,,Laxative,,,bisacodyl,,CID2391,2391,,
,HL60,haematopoietic and lymphoid tissue,cID_34,valproic acid,"1000uM,10000uM,200uM,0uM",concordanceLib2,,perturbagen,"valproic acid_0.001,0.01,0.0002,0.00005,0.0005",control,LIB_2,LSM-4620,18.0,14.0,,,CMAP_34,,,,Succinate semialdehyde dehydrogenase inhibitor,ABAT|ALDH5A1|HDAC1|SCN1A|SCN3A,,valproic acid,,CID3121,3121,,
,MCF7,breast,cID_340,felodipine,10.4uM,concordanceLib2,,perturbagen,felodipine_0.0000104,control,LIB_2,LSM-1447,12.0,2.0,,,CMAP_340,,,,Mineralocorticoid receptor antagonist|Voltage-gated L-type calcium channel blocker,CACNA1C|CACNA1D|CACNA1F|CACNA1S|NR3C2,,felodipine,,CID3333,3333,,
,MCF7,breast,cID_341,felodipine,"10uM,10.4uM",concordanceLib2,,perturbagen,"felodipine_0.00001,0.0000104",control,LIB_2,LSM-1447,25.0,5.0,,,CMAP_341,,,,Mineralocorticoid receptor antagonist|Voltage-gated L-type calcium channel blocker,CACNA1C|CACNA1D|CACNA1F|CACNA1S|NR3C2,,felodipine,,CID3333,3333,,
,MCF7,breast,cID_3417,amphotericin B,4.4uM,concordanceLib2,,perturbagen,amphotericin B_0.0000044,control,LIB_2,LSM-5443,11.0,2.0,,,CMAP_3417,,,,Membrane permeability enhancer,,,amphotericin B,,CID73707460,73707460,,
,MCF7,breast,cID_3429,epiandrosterone,13.8uM,concordanceLib2,,perturbagen,epiandrosterone_0.0000138,control,LIB_2,LSM-5861,11.0,2.0,,,CMAP_3429,,,,Steroid,,,epiandrosterone,,CID11868648,11868648,,
,MCF7,breast,cID_3445,puromycin,7.4uM,concordanceLib2,,perturbagen,puromycin_0.0000074,control,LIB_2,LSM-2788,12.0,2.0,,,CMAP_3445,,,,Protein synthesis inhibitor,,,puromycin,,CID439530,439530,,
,MCF7,breast,cID_3453,metixene,11.6uM,concordanceLib2,,perturbagen,metixene_0.0000116,control,LIB_2,LSM-1467,12.0,2.0,,,CMAP_3453,,,,Muscarinic acetylcholine receptor M1 antagonist|Serotonin 2c (5-HT2c) receptor antagonist (Serotonin 2c,CHRM1|CHRM5|HTR2C,,metixene,,CID4167,4167,,
,MCF7,breast,cID_3459,fluoxetine,11.6uM,concordanceLib2,,perturbagen,fluoxetine_0.0000116,control,LIB_2,LSM-1449,12.0,2.0,,,CMAP_3459,,,,Serotonin transporter inhibitor,SLC6A4,,fluoxetine,,CID3386,3386,,
,MCF7,breast,cID_346,azathioprine,"100uM,14.4uM",concordanceLib2,,perturbagen,"azathioprine_0.0001,0.0000144",control,LIB_2,LSM-42936,19.0,4.0,,,CMAP_346,,,,Dehydrogenase inhibitor,PPAT,,azathioprine,,CID2265,2265,,
,MCF7,breast,cID_3467,pirenperone,10.2uM,concordanceLib2,,perturbagen,pirenperone_0.0000102,control,LIB_2,LSM-2550,18.0,3.0,,,CMAP_3467,,,,Serotonin receptor antagonist,HTR2A,,pirenperone,,CID4847,4847,,
,MCF7,breast,cID_3471,ciclopirox,15uM,concordanceLib2,,perturbagen,ciclopirox_0.000015,control,LIB_2,LSM-5307,12.0,2.0,,,CMAP_3471,,,,Membrane integrity inhibitor,ATP1A1,,ciclopirox,,CID2749,2749,,
,MCF7,breast,cID_3475,hexetidine,11.8uM,concordanceLib2,,perturbagen,hexetidine_0.0000118,control,LIB_2,LSM-4988,11.0,2.0,,,CMAP_3475,,,,Local anesthetic,,,hexetidine,,CID3607,3607,,
,MCF7,breast,cID_3495,thiostrepton,2.4uM,concordanceLib2,,perturbagen,thiostrepton_0.0000024,control,LIB_2,LSM-43142,12.0,2.0,,,CMAP_3495,,,,FOXM1 inhibitor|Protein synthesis inhibitor,FOXM1,,thiostrepton,,CID16129666,16129666,,
,PC3,prostate,cID_35,valproic acid,"1000uM,200uM,50uM",concordanceLib2,,perturbagen,"valproic acid_0.001,0.0002,0.00005,0.0005",control,LIB_2,LSM-4620,14.0,10.0,,,CMAP_35,,,,Succinate semialdehyde dehydrogenase inhibitor,ABAT|ALDH5A1|HDAC1|SCN1A|SCN3A,,valproic acid,,CID3121,3121,,
,MCF7,breast,cID_350,sodium phenylbutyrate,1000uM,concordanceLib2,,perturbagen,sodium phenylbutyrate_0.001,control,LIB_2,LSM-5751,1.0,2.0,,,CMAP_350,,,,HDAC inhibitor,,,sodium phenylbutyrate,,CID4775,4775,,
,MCF7,breast,cID_3523,norcyclobenzaprine,15.4uM,concordanceLib2,,perturbagen,norcyclobenzaprine_0.0000154,control,LIB_2,LSM-3403,12.0,2.0,,,CMAP_3523,,,,Adrenergic receptor agonist|Serotonin receptor antagonist,,,norcyclobenzaprine,,CID9918,9918,,
,MCF7,breast,cID_3539,benperidol,10.4uM,concordanceLib2,,perturbagen,benperidol_0.0000104,control,LIB_2,LSM-3792,12.0,2.0,,,CMAP_3539,,,,Dopamine receptor antagonist,DRD2,,benperidol,,CID16363,16363,,
,MCF7,breast,cID_3571,terconazole,7.6uM,concordanceLib2,,perturbagen,terconazole_0.0000076,control,LIB_2,LSM-3923,12.0,2.0,,,CMAP_3571,,,,Cytochrome P450 51 inhibitor,,,terconazole,,CID441383,441383,,
,MCF7,breast,cID_3595,nifuroxazide,14.6uM,concordanceLib2,,perturbagen,nifuroxazide_0.0000146,control,LIB_2,LSM-5405,12.0,2.0,,,CMAP_3595,,,,Bacterial DNA inhibitor,,,nifuroxazide,,CID13764,13764,,
,MCF7,breast,cID_3611,lovastatin,9.8uM,concordanceLib2,,perturbagen,lovastatin_0.0000098,control,LIB_2,LSM-2189,11.0,2.0,,,CMAP_3611,,,,HMG-CoA reductase inhibitor,HMGCR,,lovastatin,,CID53232,53232,,
,MCF7,breast,cID_3647,estropipate,9.2uM,concordanceLib2,,perturbagen,estropipate_0.0000092,control,LIB_2,LSM-3126,12.0,2.0,,,CMAP_3647,,,,Estrogen receptor alpha agonist,ESR1,,estropipate,,CID3001028,3001028,,
,MCF7,breast,cID_3655,benzethonium chloride,9uM,concordanceLib2,,perturbagen,benzethonium chloride_0.000009,control,LIB_2,LSM-5804,12.0,2.0,,,CMAP_3655,,,,Sodium channel blocker,SCN10A,,benzethonium chloride,,CID2335,2335,,
,MCF7,breast,cID_3659,fluorometholone,10.6uM,concordanceLib2,,perturbagen,fluorometholone_0.0000106,control,LIB_2,LSM-25624,12.0,2.0,,,CMAP_3659,,,,Glucocorticoid receptor agonist,NR3C1,,fluorometholone,,CID9878,9878,,
,PC3,prostate,cID_367,pirinixic acid,100uM,concordanceLib2,,perturbagen,pirinixic acid_0.0001,control,LIB_2,LSM-2015,2.0,2.0,,,CMAP_367,,,,PPAR receptor agonist,PPARA,,pirinixic acid,,CID5694,5694,,
,MCF7,breast,cID_3675,delsoline,8.6uM,concordanceLib2,,perturbagen,delsoline_0.0000086,control,LIB_2,LSM-6415,12.0,2.0,,,CMAP_3675,,,,,,,delsoline,,CID441727,441727,,
,MCF7,breast,cID_3683,hexestrol,14.8uM,concordanceLib2,,perturbagen,hexestrol_0.0000148,control,LIB_2,LSM-4300,12.0,2.0,,,CMAP_3683,,,,Synthetic estrogen,ESR1,,hexestrol,,CID3606,3606,,
,MCF7,breast,cID_3691,cefalotin,9.6uM,concordanceLib2,,perturbagen,cefalotin_0.0000096,control,LIB_2,LSM-15184,12.0,2.0,,,CMAP_3691,,,,Bacterial penicillin-binding protein inhibitor,,,cefalotin,,CID23675321,23675321,,
,MCF7,breast,cID_3695,abamectin,4.8uM,concordanceLib2,,perturbagen,abamectin_0.0000048,control,LIB_2,LSM-5805,12.0,2.0,,,CMAP_3695,,,,,,,abamectin,,,,,
,MCF7,breast,cID_3699,tetrandrine,6.4uM,concordanceLib2,,perturbagen,tetrandrine_0.0000064,control,LIB_2,LSM-6539,11.0,2.0,,,CMAP_3699,,,,,,,tetrandrine,,CID73078,73078,,
,MCF7,breast,cID_3715,strophanthidin,9.8uM,concordanceLib2,,perturbagen,strophanthidin_0.0000098,control,LIB_2,LSM-3891,11.0,2.0,,,CMAP_3715,,,,ATPase inhibitor,ATP1A1,,strophanthidin,,CID6185,6185,,
,PC3,prostate,cID_374,rosiglitazone,10uM,concordanceLib2,,perturbagen,rosiglitazone_0.00001,control,LIB_2,LSM-1949,13.0,3.0,,,CMAP_374,,,,Peroxisome proliferator-activated receptor gamma agonist,PPARG,,rosiglitazone,,CID77999,77999,,
,MCF7,breast,cID_3759,phenazopyridine,16uM,concordanceLib2,,perturbagen,phenazopyridine_0.000016,control,LIB_2,LSM-3705,12.0,2.0,,,CMAP_3759,,,,Sodium channel alpha subunit blocker,SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A,,phenazopyridine,,CID4756,4756,,
,MCF7,breast,cID_3771,podophyllotoxin,9.6uM,concordanceLib2,,perturbagen,podophyllotoxin_0.0000096,control,LIB_2,LSM-3055,11.0,2.0,,,CMAP_3771,,,,Microtubule inhibitor|Tubulin inhibitor,,,podophyllotoxin,,CID10607,10607,,
,PC3,prostate,cID_3788,medrysone,11.6uM,concordanceLib2,,perturbagen,medrysone_0.0000116,control,LIB_2,LSM-3259,11.0,2.0,,,CMAP_3788,,,,Glucocorticoid receptor agonist,NR3C1,,medrysone,,CID247839,247839,,
,MCF7,breast,cID_38,estradiol,0.1uM,concordanceLib2,,perturbagen,estradiol_0.0000001,control,LIB_2,LSM-2421,37.0,7.0,,,CMAP_38,,,,Estrogen receptor alpha agonist,ESR1|ESR2|NR1I2,,estradiol,,CID5757,5757,,
,MCF7,breast,cID_380,troglitazone,10uM,concordanceLib2,,perturbagen,troglitazone_0.00001,control,LIB_2,LSM-4890,42.0,7.0,,,CMAP_380,,,,Peroxisome proliferator-activated receptor gamma agonist,PPARG,,troglitazone,,CID5591,5591,,
,MCF7,breast,cID_3805,levonorgestrel,12.8uM,concordanceLib2,,perturbagen,levonorgestrel_0.0000128,control,LIB_2,LSM-2768,18.0,3.0,,,CMAP_3805,,,,Progesterone receptor agonist,PGR,,levonorgestrel,,CID13109,13109,,
,MCF7,breast,cID_3811,cloperastine,11uM,concordanceLib2,,perturbagen,cloperastine_0.000011,control,LIB_2,LSM-5161,18.0,3.0,,,CMAP_3811,,,,Antitussive,,,cloperastine,,CID2805,2805,,
,PC3,prostate,cID_3812,cloperastine,11uM,concordanceLib2,,perturbagen,cloperastine_0.000011,control,LIB_2,LSM-5161,11.0,2.0,,,CMAP_3812,,,,Antitussive,,,cloperastine,,CID2805,2805,,
,PC3,prostate,cID_382,troglitazone,10uM,concordanceLib2,,perturbagen,troglitazone_0.00001,control,LIB_2,LSM-4890,14.0,4.0,,,CMAP_382,,,,Peroxisome proliferator-activated receptor gamma agonist,PPARG,,troglitazone,,CID5591,5591,,
,PC3,prostate,cID_3822,flumetasone,9.8uM,concordanceLib2,,perturbagen,flumetasone_0.0000098,control,LIB_2,LSM-3369,11.0,2.0,,,CMAP_3822,,,,Glucocorticoid receptor agonist,NR3C1,,flumetasone,,CID16490,16490,,
,MCF7,breast,cID_3857,flecainide,8.4uM,concordanceLib2,,perturbagen,flecainide_0.0000084,control,LIB_2,LSM-1297,17.0,3.0,,,CMAP_3857,,,,Sodium channel protein type V alpha subunit blocker,SCN5A,,flecainide,,CID3356,3356,,
,MCF7,breast,cID_3911,diethylstilbestrol,15uM,concordanceLib2,,perturbagen,diethylstilbestrol_0.000015,control,LIB_2,LSM-42960,17.0,3.0,,,CMAP_3911,,,,Estrogen receptor alpha agonist,ESR1|ESR2|ESRRG,,diethylstilbestrol,,CID448537,448537,,
,MCF7,breast,cID_392,wortmannin,0.01uM,concordanceLib2,,perturbagen,wortmannin_0.00000001,control,LIB_2,LSM-3947,48.0,8.0,,,CMAP_392,,,,PI3K inhibitor,PIK3CA|PIK3CG|PLK1,,wortmannin,,CID312145,312145,,
,HL60,haematopoietic and lymphoid tissue,cID_393,wortmannin,0.01uM,concordanceLib2,,perturbagen,wortmannin_0.00000001,control,LIB_2,LSM-3947,18.0,4.0,,,CMAP_393,,,,PI3K inhibitor,PIK3CA|PIK3CG|PLK1,,wortmannin,,CID312145,312145,,
,PC3,prostate,cID_394,wortmannin,0.01uM,concordanceLib2,,perturbagen,wortmannin_0.00000001,control,LIB_2,LSM-3947,12.0,2.0,,,CMAP_394,,,,PI3K inhibitor,PIK3CA|PIK3CG|PLK1,,wortmannin,,CID312145,312145,,
,MCF7,breast,cID_3941,alpha-ergocryptine,7uM,concordanceLib2,,perturbagen,alpha-ergocryptine_0.000007,control,LIB_2,LSM-3664,17.0,3.0,,,CMAP_3941,,,,Dopamine agonist,,,alpha-ergocryptine,,CID134551,134551,,
,MCF7,breast,cID_395,wortmannin,1uM,concordanceLib2,,perturbagen,wortmannin_0.000001,control,LIB_2,LSM-3947,12.0,2.0,,,CMAP_395,,,,PI3K inhibitor,PIK3CA|PIK3CG|PLK1,,wortmannin,,CID312145,312145,,
,PC3,prostate,cID_3959,alexidine,6.8uM,concordanceLib2,,perturbagen,alexidine_0.0000068,control,LIB_2,LSM-4432,11.0,2.0,,,CMAP_3959,,,,Phosphatidylglycerophosphatase inhibitor,PTPMT1,,alexidine,,CID2090,2090,,
,MCF7,breast,cID_397,wortmannin,"1uM,0.01uM",concordanceLib2,,perturbagen,"wortmannin_0.000001,0.00000001",control,LIB_2,LSM-3947,60.0,10.0,,,CMAP_397,,,,PI3K inhibitor,PIK3CA|PIK3CG|PLK1,,wortmannin,,CID312145,312145,,
,MCF7,breast,cID_3989,vidarabine,15uM,concordanceLib2,,perturbagen,vidarabine_0.000015,control,LIB_2,LSM-5800,11.0,2.0,,,CMAP_3989,,,,Human herpesvirus 1 DNA polymerase inhibitor,ADA,,vidarabine,,CID21704,21704,,
,MCF7,breast,cID_3993,proadifen,10.2uM,concordanceLib2,,perturbagen,proadifen_0.0000102,control,LIB_2,LSM-3023,10.0,2.0,,,CMAP_3993,,,,Nitric oxide synthase inhibitor,NOS1,,proadifen,,CID4910,4910,,
,MCF7,breast,cID_4021,drofenine,11.4uM,concordanceLib2,,perturbagen,drofenine_0.0000114,control,LIB_2,LSM-4364,10.0,2.0,,,CMAP_4021,,,,,,,drofenine,,CID92806,92806,,
,MCF7,breast,cID_4049,cicloheximide,14.2uM,concordanceLib2,,perturbagen,cicloheximide_0.0000142,control,LIB_2,LSM-2791,11.0,2.0,,,CMAP_4049,,,,Protein synthesis inhibitor,RPL3,,cicloheximide,,CID6197,6197,,
,MCF7,breast,cID_4053,amrinone,21.4uM,concordanceLib2,,perturbagen,amrinone_0.0000214,control,LIB_2,LSM-6600,11.0,2.0,,,CMAP_4053,,,,Phosphodiesterase 3A inhibitor,PDE3A,,amrinone,,CID3698,3698,,
,MCF7,breast,cID_4073,securinine,18.4uM,concordanceLib2,,perturbagen,securinine_0.0000184,control,LIB_2,LSM-6733,11.0,2.0,,,CMAP_4073,,,,GABA receptor antagonist|TP53 activator,GABRA1,,securinine,,CID442872,442872,,
,MCF7,breast,cID_4137,mycophenolic acid,12.4uM,concordanceLib2,,perturbagen,mycophenolic acid_0.0000124,control,LIB_2,LSM-42933,11.0,2.0,,,CMAP_4137,,,,Inosine-5'-monophosphate dehydrogenase (IMPDH) inhibitor (Inosine-5'-monophosphate dehydrogenase,IMPDH1|IMPDH2,,mycophenolic acid,,CID446541,446541,,
,MCF7,breast,cID_416,thioridazine,10uM,concordanceLib2,,perturbagen,thioridazine_0.00001,control,LIB_2,LSM-1863,38.0,8.0,,,CMAP_416,,,,Serotonin 2a (5-HT2a) receptor antagonist (Serotonin 2a|Serotonin 2c (5-HT2c) receptor antagonist (Serotonin 2c|D2-like dopamine receptor antagonist,DRD1|DRD2|DRD3|DRD4|HTR2A|HTR2C,,thioridazine,,CID5452,5452,,
,HL60,haematopoietic and lymphoid tissue,cID_417,thioridazine,10uM,concordanceLib2,,perturbagen,thioridazine_0.00001,control,LIB_2,LSM-1863,17.0,3.0,,,CMAP_417,,,,Serotonin 2a (5-HT2a) receptor antagonist (Serotonin 2a|Serotonin 2c (5-HT2c) receptor antagonist (Serotonin 2c|D2-like dopamine receptor antagonist,DRD1|DRD2|DRD3|DRD4|HTR2A|HTR2C,,thioridazine,,CID5452,5452,,
,PC3,prostate,cID_418,thioridazine,10uM,concordanceLib2,,perturbagen,thioridazine_0.00001,control,LIB_2,LSM-1863,13.0,3.0,,,CMAP_418,,,,Serotonin 2a (5-HT2a) receptor antagonist (Serotonin 2a|Serotonin 2c (5-HT2c) receptor antagonist (Serotonin 2c|D2-like dopamine receptor antagonist,DRD1|DRD2|DRD3|DRD4|HTR2A|HTR2C,,thioridazine,,CID5452,5452,,
,MCF7,breast,cID_4187,fluvoxamine,9.2uM,concordanceLib2,,perturbagen,fluvoxamine_0.0000092,control,LIB_2,LSM-3625,11.0,2.0,,,CMAP_4187,,,,Selective serotonin reuptake inhibitor (SSRI),SLC6A4,,fluvoxamine,,CID3404,3404,,
,MCF7,breast,cID_42,estradiol,0.01uM,concordanceLib2,,perturbagen,estradiol_0.00000001,control,LIB_2,LSM-2421,45.0,10.0,,,CMAP_42,,,,Estrogen receptor alpha agonist,ESR1|ESR2|NR1I2,,estradiol,,CID5757,5757,,
,MCF7,breast,cID_420,thioridazine,9.8uM,concordanceLib2,,perturbagen,thioridazine_0.0000098,control,LIB_2,LSM-1863,12.0,2.0,,,CMAP_420,,,,Serotonin 2a (5-HT2a) receptor antagonist (Serotonin 2a|Serotonin 2c (5-HT2c) receptor antagonist (Serotonin 2c|D2-like dopamine receptor antagonist,DRD1|DRD2|DRD3|DRD4|HTR2A|HTR2C,,thioridazine,,CID5452,5452,,
,PC3,prostate,cID_421,thioridazine,9.8uM,concordanceLib2,,perturbagen,thioridazine_0.0000098,control,LIB_2,LSM-1863,11.0,2.0,,,CMAP_421,,,,Serotonin 2a (5-HT2a) receptor antagonist (Serotonin 2a|Serotonin 2c (5-HT2c) receptor antagonist (Serotonin 2c|D2-like dopamine receptor antagonist,DRD1|DRD2|DRD3|DRD4|HTR2A|HTR2C,,thioridazine,,CID5452,5452,,
,MCF7,breast,cID_4211,tracazolate,11.8uM,concordanceLib2,,perturbagen,tracazolate_0.0000118,control,LIB_2,LSM-2745,11.0,2.0,,,CMAP_4211,,,,GABA receptor modulator,GABRA1,,tracazolate,,CID5522,5522,,
,MCF7,breast,cID_4215,proscillaridin,7.6uM,concordanceLib2,,perturbagen,proscillaridin_0.0000076,control,LIB_2,LSM-1476,12.0,2.0,,,CMAP_4215,,,,ATPase inhibitor,ATP1A1,,proscillaridin,,CID9828429,9828429,,
,MCF7,breast,cID_422,thioridazine,"10uM,1uM,0uM",concordanceLib2,,perturbagen,"thioridazine_0.00001,0.000001,0.0000098",control,LIB_2,LSM-1863,51.0,11.0,,,CMAP_422,,,,Serotonin 2a (5-HT2a) receptor antagonist (Serotonin 2a|Serotonin 2c (5-HT2c) receptor antagonist (Serotonin 2c|D2-like dopamine receptor antagonist,DRD1|DRD2|DRD3|DRD4|HTR2A|HTR2C,,thioridazine,,CID5452,5452,,
,MCF7,breast,cID_4221,epitiostanol,13uM,concordanceLib2,,perturbagen,epitiostanol_0.000013,control,LIB_2,LSM-45392,12.0,2.0,,,CMAP_4221,,,,,,,epitiostanol,,CID443935,443935,,
,HL60,haematopoietic and lymphoid tissue,cID_423,thioridazine,"10uM,9.8uM",concordanceLib2,,perturbagen,"thioridazine_0.00001,0.0000098",control,LIB_2,LSM-1863,23.0,4.0,,,CMAP_423,,,,Serotonin 2a (5-HT2a) receptor antagonist (Serotonin 2a|Serotonin 2c (5-HT2c) receptor antagonist (Serotonin 2c|D2-like dopamine receptor antagonist,DRD1|DRD2|DRD3|DRD4|HTR2A|HTR2C,,thioridazine,,CID5452,5452,,
,PC3,prostate,cID_424,thioridazine,"10uM,9.8uM",concordanceLib2,,perturbagen,"thioridazine_0.00001,0.0000098",control,LIB_2,LSM-1863,24.0,5.0,,,CMAP_424,,,,Serotonin 2a (5-HT2a) receptor antagonist (Serotonin 2a|Serotonin 2c (5-HT2c) receptor antagonist (Serotonin 2c|D2-like dopamine receptor antagonist,DRD1|DRD2|DRD3|DRD4|HTR2A|HTR2C,,thioridazine,,CID5452,5452,,
,MCF7,breast,cID_427,haloperidol,10uM,concordanceLib2,,perturbagen,haloperidol_0.00001,control,LIB_2,LSM-3512,44.0,16.0,,,CMAP_427,,,,Serotonin 2a (5-HT2a) receptor antagonist (Serotonin 2a|D2-like dopamine receptor inverse agonist,DRD1|DRD2|DRD3|DRD4|HTR2A,,haloperidol,,CID3559,3559,,
,MCF7,breast,cID_4273,zuclopenthixol,9.2uM,concordanceLib2,,perturbagen,zuclopenthixol_0.0000092,control,LIB_2,LSM-42927,12.0,2.0,,,CMAP_4273,,,,Dopamine receptor antagonist,DRD1|DRD2,,zuclopenthixol,,CID5311507,5311507,,
,PC3,prostate,cID_4281,alprostadil,10uM,concordanceLib2,,perturbagen,alprostadil_0.00001,control,LIB_2,LSM-42979,2.0,2.0,,,CMAP_4281,,,,Prostanoid EP1 receptor agonist|Prostanoid EP2 receptor agonist,PTGER1|PTGER2,,alprostadil,,CID5280723,5280723,,
,PC3,prostate,cID_4285,alprostadil,"11.2uM,10uM",concordanceLib2,,perturbagen,"alprostadil_0.0000112,0.00001",control,LIB_2,LSM-42979,7.0,3.0,,,CMAP_4285,,,,Prostanoid EP1 receptor agonist|Prostanoid EP2 receptor agonist,PTGER1|PTGER2,,alprostadil,,CID5280723,5280723,,
,MCF7,breast,cID_431,haloperidol,10.6uM,concordanceLib2,,perturbagen,haloperidol_0.0000106,control,LIB_2,LSM-3512,18.0,3.0,,,CMAP_431,,,,Serotonin 2a (5-HT2a) receptor antagonist (Serotonin 2a|D2-like dopamine receptor inverse agonist,DRD1|DRD2|DRD3|DRD4|HTR2A,,haloperidol,,CID3559,3559,,
,MCF7,breast,cID_4316,tribenoside,8.4uM,concordanceLib2,,perturbagen,tribenoside_0.0000084,control,LIB_2,LSM-1671,11.0,2.0,,,CMAP_4316,,,,Anti-inflammatory agent|Capillary stabilizing agent,,,tribenoside,,CID196122,196122,,
,MCF7,breast,cID_433,haloperidol,"10uM,10.6uM",concordanceLib2,,perturbagen,"haloperidol_0.00001,0.0000106",control,LIB_2,LSM-3512,62.0,19.0,,,CMAP_433,,,,Serotonin 2a (5-HT2a) receptor antagonist (Serotonin 2a|D2-like dopamine receptor inverse agonist,DRD1|DRD2|DRD3|DRD4|HTR2A,,haloperidol,,CID3559,3559,,
,MCF7,breast,cID_4348,rimexolone,10.8uM,concordanceLib2,,perturbagen,rimexolone_0.0000108,control,LIB_2,LSM-2685,12.0,2.0,,,CMAP_4348,,,,Glucocorticoid receptor agonist,NR3C1,,rimexolone,,CID5311412,5311412,,
,MCF7,breast,cID_4402,procarbazine,15.6uM,concordanceLib2,,perturbagen,procarbazine_0.0000156,control,LIB_2,LSM-2272,11.0,2.0,,,CMAP_4402,,,,Monoamine oxidase inhibitor,,,procarbazine,,CID4915,4915,,
,MCF7,breast,cID_4406,penbutolol,5.8uM,concordanceLib2,,perturbagen,penbutolol_0.0000058,control,LIB_2,LSM-43256,12.0,2.0,,,CMAP_4406,,,,Adrenergic receptor antagonist,ADRB2,,penbutolol,,CID4724,4724,,
,MCF7,breast,cID_4414,naftifine,12.4uM,concordanceLib2,,perturbagen,naftifine_0.0000124,control,LIB_2,LSM-43018,11.0,2.0,,,CMAP_4414,,,,Squalene monooxygenase inhibitor,,,naftifine,,CID47641,47641,,
,MCF7,breast,cID_442,chlorpromazine,11.2uM,concordanceLib2,,perturbagen,chlorpromazine_0.0000112,control,LIB_2,LSM-4017,12.0,2.0,,,CMAP_442,,,,Serotonin 2a (5-HT2a) receptor antagonist (Serotonin 2a|D2-like dopamine receptor antagonist,ADRA2A|ADRA2B|ADRA2C|DRD1|DRD2|DRD3|DRD4|DRD5|HRH1|HTR1A|HTR2A|HTR2C|HTR6|HTR7,,chlorpromazine,,CID2726,2726,,
,PC3,prostate,cID_443,chlorpromazine,11.2uM,concordanceLib2,,perturbagen,chlorpromazine_0.0000112,control,LIB_2,LSM-4017,11.0,2.0,,,CMAP_443,,,,Serotonin 2a (5-HT2a) receptor antagonist (Serotonin 2a|D2-like dopamine receptor antagonist,ADRA2A|ADRA2B|ADRA2C|DRD1|DRD2|DRD3|DRD4|DRD5|HRH1|HTR1A|HTR2A|HTR2C|HTR6|HTR7,,chlorpromazine,,CID2726,2726,,
,PC3,prostate,cID_446,chlorpromazine,"1uM,11.2uM",concordanceLib2,,perturbagen,"chlorpromazine_0.000001,0.0000112",control,LIB_2,LSM-4017,23.0,4.0,,,CMAP_446,,,,Serotonin 2a (5-HT2a) receptor antagonist (Serotonin 2a|D2-like dopamine receptor antagonist,ADRA2A|ADRA2B|ADRA2C|DRD1|DRD2|DRD3|DRD4|DRD5|HRH1|HTR1A|HTR2A|HTR2C|HTR6|HTR7,,chlorpromazine,,CID2726,2726,,
,MCF7,breast,cID_449,trifluoperazine,10uM,concordanceLib2,,perturbagen,trifluoperazine_0.00001,control,LIB_2,LSM-4010,37.0,7.0,,,CMAP_449,,,,Serotonin 2a (5-HT2a) receptor antagonist (Serotonin 2a|Serotonin 2c (5-HT2c) receptor antagonist (Serotonin 2c|D2-like dopamine receptor antagonist,DRD2|DRD3|DRD4|HTR2A|HTR2C,,trifluoperazine,,CID5566,5566,,
,MCF7,breast,cID_4492,tetroquinone,21uM,concordanceLib2,,perturbagen,tetroquinone_0.000021,control,LIB_2,LSM-5953,12.0,2.0,,,CMAP_4492,,,,,,,tetroquinone,,CID36689751,36689751,,
